0,1,0.674873
0,2,1.06503
0,4,1.34886
0,8,1.90655
0,16,3.13424
0,32,100000000
0,64,100000000
1,1,0.86254
1,2,1.12057
1,4,1.3714
1,8,2.03522
1,16,3.18737
1,32,5.93149
1,64,100000000
2,1,0.996247
2,2,1.19215
2,4,1.42368
2,8,2.07188
2,16,3.30211
2,32,5.69648
2,64,10.6412
3,1,1.20648
3,2,1.31591
3,4,1.49276
3,8,2.13542
3,16,3.45732
3,32,6.05007
3,64,10.7204
4,1,1.59428
4,2,1.73853
4,4,1.74169
4,8,2.27337
4,16,3.55875
4,32,6.13903
4,64,10.7738
5,1,2.02059
5,2,2.24497
5,4,2.25701
5,8,2.47584
5,16,3.72558
5,32,6.02815
5,64,10.8838
6,1,2.67655
6,2,2.98968
6,4,2.99212
6,8,3.02035
6,16,3.91131
6,32,6.21012
6,64,10.9837
7,1,3.6386
7,2,3.86549
7,4,3.8532
7,8,3.85126
7,16,4.51702
7,32,6.50472
7,64,11.215
8,1,5.04997
8,2,5.38635
8,4,5.3875
8,8,5.39455
8,16,5.07883
8,32,7.29392
8,64,11.7366
9,1,6.38979
9,2,7.41852
9,4,7.14041
9,8,7.11137
9,16,7.07483
9,32,7.95909
9,64,12.6348
10,1,9.48072
10,2,10.3383
10,4,10.274
10,8,10.095
10,16,10.0562
10,32,10.061
10,64,13.3976
11,1,11.9131
11,2,14.3609
11,4,14.2962
11,8,14.2753
11,16,13.9718
11,32,13.9645
11,64,15.801
12,1,18.069
12,2,20.1372
12,4,20.0724
12,8,20.0512
12,16,20.0402
12,32,19.8766
12,64,19.932
